Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	5	2	0.01	2	-1.9	1.8	0.1	0.988	0.979	0.996	0.987	0.976	0.988	0.899	0.979	0.819	0.907	0.809	0.899	0.905	0.99	0.819	0.912	0.822	0.905
poly	5	2	0.01	3	-1.9	1.7	0.1	0.99	0.983	0.996	0.989	0.98	0.99	0.901	0.983	0.819	0.909	0.813	0.901	0.905	0.99	0.819	0.912	0.822	0.905
poly	5	2	0.001	0	-4.4	1.5	0.1	0.971	0.965	0.977	0.971	0.942	0.971	0.896	0.956	0.836	0.902	0.799	0.896	0.924	0.981	0.867	0.928	0.853	0.924
poly	5	2	0.001	1	-2.2	1.5	0.2	0.996	0.996	0.996	0.996	0.992	0.996	0.919	0.989	0.85	0.924	0.846	0.919	0.924	0.99	0.857	0.929	0.855	0.924
poly	5	2	0.001	2	-2.3	1.6	0.3	0.996	0.994	0.998	0.996	0.992	0.996	0.926	0.985	0.867	0.93	0.858	0.926	0.933	0.99	0.876	0.937	0.872	0.933
poly	5	2	0.001	3	-2.4	1.8	0.3	0.996	0.994	0.998	0.996	0.992	0.996	0.928	0.987	0.869	0.932	0.861	0.928	0.929	0.99	0.867	0.933	0.864	0.929
poly	5	3	0.1	0	-1.9	7.5	0.2	0.966	0.971	0.961	0.966	0.932	0.966	0.928	0.952	0.903	0.929	0.857	0.928	0.948	0.981	0.914	0.949	0.897	0.948
poly	5	3	0.1	1	-1.9	7.6	0.2	0.966	0.971	0.961	0.966	0.932	0.966	0.931	0.954	0.909	0.933	0.864	0.931	0.948	0.981	0.914	0.949	0.897	0.948
poly	5	3	0.1	2	-1.9	7.6	0.3	0.971	0.963	0.979	0.971	0.942	0.971	0.947	0.949	0.945	0.947	0.894	0.947	0.962	0.981	0.943	0.963	0.924	0.962
poly	5	3	0.1	3	-1.8	7.6	0.3	0.973	0.961	0.986	0.973	0.947	0.973	0.947	0.949	0.945	0.947	0.894	0.947	0.967	0.981	0.952	0.967	0.934	0.967
poly	5	3	0.01	0	-1.9	7.5	0.2	0.966	0.971	0.961	0.966	0.932	0.966	0.928	0.952	0.903	0.929	0.857	0.928	0.948	0.981	0.914	0.949	0.897	0.948
poly	5	3	0.01	1	-1.6	7.4	0.2	0.979	0.969	0.99	0.979	0.959	0.979	0.935	0.964	0.907	0.937	0.872	0.935	0.948	0.981	0.914	0.949	0.897	0.948
poly	5	3	0.01	2	-1.6	6.7	0.1	0.984	0.981	0.988	0.984	0.969	0.985	0.917	0.975	0.859	0.922	0.84	0.917	0.924	0.99	0.857	0.929	0.855	0.924
poly	5	3	0.01	3	-1.6	6.1	0.1	0.986	0.981	0.99	0.985	0.971	0.986	0.915	0.975	0.855	0.92	0.837	0.915	0.929	0.99	0.867	0.933	0.864	0.929
poly	5	3	0.001	0	-1.9	7.5	0.2	0.964	0.969	0.959	0.964	0.928	0.964	0.927	0.947	0.907	0.928	0.855	0.927	0.943	0.981	0.905	0.945	0.888	0.943
poly	5	3	0.001	1	-1.8	3.7	0.1	0.993	0.99	0.996	0.993	0.986	0.993	0.907	0.989	0.825	0.914	0.825	0.907	0.919	0.99	0.848	0.924	0.847	0.919
poly	5	3	0.001	2	-2.1	2.5	0.2	0.996	0.994	0.998	0.996	0.992	0.996	0.921	0.989	0.853	0.926	0.85	0.921	0.933	0.99	0.876	0.937	0.872	0.933
poly	5	3	0.001	3	-2.2	2.0	0.2	0.995	0.994	0.996	0.995	0.99	0.995	0.917	0.99	0.844	0.923	0.843	0.917	0.919	0.99	0.848	0.924	0.847	0.919
poly	10	2	0.1	0	-4.4	1.5	0.1	0.971	0.967	0.975	0.971	0.942	0.971	0.897	0.962	0.832	0.903	0.801	0.897	0.924	0.981	0.867	0.928	0.853	0.924
poly	10	2	0.1	1	-4.0	1.5	0.1	0.972	0.967	0.977	0.972	0.944	0.972	0.902	0.964	0.84	0.908	0.81	0.902	0.919	0.981	0.857	0.924	0.845	0.919
poly	10	2	0.1	2	-3.7	1.6	0.0	0.973	0.977	0.969	0.973	0.947	0.973	0.865	0.968	0.762	0.877	0.746	0.865	0.886	0.981	0.79	0.896	0.786	0.886
poly	10	2	0.1	3	-3.5	1.6	0.0	0.976	0.981	0.971	0.976	0.953	0.976	0.864	0.968	0.76	0.877	0.744	0.864	0.881	0.981	0.781	0.892	0.778	0.881
poly	10	2	0.01	0	-4.4	1.5	0.1	0.971	0.967	0.975	0.971	0.942	0.971	0.897	0.962	0.832	0.903	0.801	0.897	0.924	0.981	0.867	0.928	0.853	0.924
poly	10	2	0.01	1	-2.3	1.8	0.1	0.981	0.973	0.99	0.981	0.963	0.981	0.901	0.973	0.829	0.908	0.811	0.901	0.905	0.981	0.829	0.912	0.819	0.905
poly	10	2	0.01	2	-1.9	1.8	0.1	0.988	0.979	0.996	0.987	0.976	0.988	0.899	0.979	0.819	0.907	0.809	0.899	0.905	0.99	0.819	0.912	0.822	0.905
poly	10	2	0.01	3	-1.9	1.7	0.1	0.99	0.983	0.996	0.989	0.98	0.99	0.901	0.983	0.819	0.909	0.813	0.901	0.905	0.99	0.819	0.912	0.822	0.905
poly	10	2	0.001	0	-4.4	1.5	0.1	0.971	0.967	0.975	0.971	0.942	0.971	0.897	0.962	0.832	0.903	0.801	0.897	0.924	0.981	0.867	0.928	0.853	0.924
poly	10	2	0.001	1	-2.2	1.5	0.2	0.996	0.996	0.996	0.996	0.992	0.996	0.919	0.989	0.85	0.924	0.846	0.919	0.924	0.99	0.857	0.929	0.855	0.924
poly	10	2	0.001	2	-2.3	1.6	0.3	0.996	0.994	0.998	0.996	0.992	0.996	0.926	0.985	0.867	0.93	0.858	0.926	0.933	0.99	0.876	0.937	0.872	0.933
poly	10	2	0.001	3	-2.4	1.8	0.3	0.996	0.994	0.998	0.996	0.992	0.996	0.928	0.987	0.869	0.932	0.861	0.928	0.929	0.99	0.867	0.933	0.864	0.929
poly	10	3	0.1	0	-1.9	7.5	0.2	0.966	0.971	0.961	0.966	0.932	0.966	0.928	0.952	0.903	0.929	0.857	0.928	0.948	0.981	0.914	0.949	0.897	0.948
poly	10	3	0.1	1	-1.9	7.6	0.2	0.966	0.971	0.961	0.966	0.932	0.966	0.931	0.954	0.909	0.933	0.864	0.931	0.948	0.981	0.914	0.949	0.897	0.948
poly	10	3	0.1	2	-1.9	7.6	0.3	0.971	0.963	0.979	0.971	0.942	0.971	0.947	0.949	0.945	0.947	0.894	0.947	0.962	0.981	0.943	0.963	0.924	0.962
poly	10	3	0.1	3	-1.8	7.6	0.3	0.973	0.961	0.986	0.973	0.947	0.973	0.947	0.949	0.945	0.947	0.894	0.947	0.967	0.981	0.952	0.967	0.934	0.967
poly	10	3	0.01	0	-1.9	7.5	0.2	0.966	0.971	0.961	0.966	0.932	0.966	0.928	0.952	0.903	0.929	0.857	0.928	0.948	0.981	0.914	0.949	0.897	0.948
poly	10	3	0.01	1	-1.6	7.4	0.2	0.979	0.969	0.99	0.979	0.959	0.979	0.935	0.964	0.907	0.937	0.872	0.935	0.948	0.981	0.914	0.949	0.897	0.948
poly	10	3	0.01	2	-1.6	6.7	0.1	0.984	0.981	0.988	0.984	0.969	0.985	0.917	0.975	0.859	0.922	0.84	0.917	0.924	0.99	0.857	0.929	0.855	0.924
poly	10	3	0.01	3	-1.6	6.1	0.1	0.986	0.981	0.99	0.985	0.971	0.986	0.915	0.975	0.855	0.92	0.837	0.915	0.929	0.99	0.867	0.933	0.864	0.929
poly	10	3	0.001	0	-1.9	7.5	0.2	0.966	0.971	0.961	0.966	0.932	0.966	0.928	0.952	0.903	0.929	0.857	0.928	0.948	0.981	0.914	0.949	0.897	0.948
poly	10	3	0.001	1	-1.8	3.7	0.1	0.993	0.99	0.996	0.993	0.986	0.993	0.907	0.989	0.825	0.914	0.825	0.907	0.919	0.99	0.848	0.924	0.847	0.919
poly	10	3	0.001	2	-2.1	2.5	0.2	0.996	0.994	0.998	0.996	0.992	0.996	0.921	0.989	0.853	0.926	0.85	0.921	0.933	0.99	0.876	0.937	0.872	0.933
poly	10	3	0.001	3	-2.2	2.0	0.2	0.995	0.994	0.996	0.995	0.99	0.995	0.917	0.99	0.844	0.923	0.843	0.917	0.919	0.99	0.848	0.924	0.847	0.919
